title,price_jd,brand,model_name,storage_gb,color_actual,condition,series,phone_age_months
Samsung Galaxy S25 Ultra – 12/256GB جديد مسكر بالكرتونة وارد الشرق الأوسط كفالة 3 سنوات  629JD,629.0,Samsung,جالاكسي S25 الترا,256.0,أسود,جديد,Samsung-Galaxy-S25,
iPhone 17 promax ESIM ايفون 17 بروماكس لون مميز السلفر,949.0,Apple,ايفون 17 برو ماكس,256.0,أبيض,جديد,Apple-iPhone-17,
Xiaomi 14 ultra 512GB,420.0,Xiaomi,14 الترا,512.0,أبيض,مستعمل - ممتاز,Xiaomi-Other,
أيفون 15 برو ماكس لون أسود جديد بسعة 256 جيجابايت,410.0,Apple,ايفون 15 برو ماكس,256.0,أسود,جديد,Apple-iPhone-15,
IPHONE 13 ( 128GB ) NEW /// ايفون 13 ذاكره 128 جيجا جديد,318.0,Apple,ايفون 13,128.0,أبيض,جديد,Apple-iPhone-13,
OPPO A6X ( 128GB\256GB ) / RAM 8 NEW /// جهاز اوبو اي 6 اكس الذاكرة 256GB\128 الرام 8,83.0,OPPO,,128.0,أزرق,جديد,OPPO-Other,
ايفون 17 برو نسخة 256 جيجا / Esim أجهزة عبارة عن وكالة وكالة مشحون شحنتين تلات,829.0,Apple,ايفون 17 برو,256.0,برتقالي,مستعمل - ممتاز,Apple-iPhone-17,
TECNO Pova Curve 2 ( 256GB ) / RAM 16 NEW /// تكنو بوفا كيرف 2 ذاكرة 256 الرام 16 الجديد.,219.0,Tecno,بوفا,512.0,أبيض,جديد,Tecno-Other,
(poxo x3 pro)  الي مش شرا لا يوجع راسي ورجاء اقرأو الاعلان,65.0,Xiaomi,بوكوفون X3 برو,256.0,لؤلؤي,مستعمل - جيد,Xiaomi-Other,
Samsung S26 جديد كفالة الوكيل الرسمي بسعر مميز جدا,580.0,Samsung,جالاكسي S26,256.0,أسود,جديد,Samsung-Galaxy-S26,
Honor 600 lite 5G 256GB 8Ram هونر الاحدث كفالة وكيل رسمي,208.0,Honor,,256.0,أسود,جديد,Honor-Other,
aybad myny 6,200.0,Apple,ايباد ميني 6,64.0,8 انش,مستعمل - ممتاز,Apple-iPad,
هونر X9d جديد مع بكج  كفالة الوكيل الرسمي بسعر مميز,220.0,Honor,هونور X9c,256.0,خمري,جديد,Honor-Other,
هونر  /x7d/ 5G بسعر مميز 256GB,115.0,Honor,هونور X7c,256.0,أسود,جديد,Honor-Other,
Samsung A17 جديد كفالة الوكيل الرسمي BMS بسعر مميز,100.0,Samsung,جالاكسي A17,256.0,أسود,جديد,Samsung-Galaxy-A17,
Samsung s26 ultra 1TB جديد كفالة الوكيل الرسمي بسعر مميز,1220.0,Samsung,جالاكسي S26 الترا,1024.0,بنفسجي,جديد,Samsung-Galaxy-S26,
Samsung S26 ultra 256GB كفالة الوكيل الرسمي BMS بسعر مميز جدا,810.0,Samsung,جالاكسي S26 الترا,256.0,أسود,جديد,Samsung-Galaxy-S26,
ايفون 128GB 15 جديد غير مستعمل فقط مشغل تشغيل بطاريه 100%,385.0,Apple,ايفون 15,128.0,أسود,جديد,Apple-iPhone-12,
13Pro Max 512GB 100% بحال الوكاله جميع القطع اصليه غير موفوع بطاريه,425.0,Apple,ايفون 13 برو ماكس,512.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
متوفر الأن مستعمل بسعر مميز ايفون 14 / IPHONE 14 128G uesd,259.0,Apple,ايفون 14,128.0,أزرق,مستعمل - ممتاز,Apple-iPhone-14,
Samsung S26 plus 512GB كفالة الوكيل الرسمي بسعر مميز جدا,750.0,Samsung,جالاكسي S26 الترا,512.0,أسود,جديد,Samsung-Galaxy-S26,
IPHONE 14 PRO MAX (256-GB) USED LIKE NEW / ايفون 14 برو ماكس 256 مستعمل بحاله الجديد كفاله سنتين,419.0,Apple,ايفون 14 برو ماكس,256.0,بنفسجي,مستعمل - ممتاز,Apple-iPhone-14,
Samsung S25 Fe كفالة الوكيل الرسمي BMS جديد كفالة الوكيل الرسمي,375.0,Samsung,جالاكسي S25 بلس,256.0,أزرق,جديد,Samsung-Galaxy-S25,
Samsung S25 ultra 256GB كفالة الوكيل  الرسمي BMS بسعر مميز جدا,665.0,Samsung,جالاكسي S25 الترا,256.0,رمادي,جديد,Samsung-Galaxy-S25,
iphone 13 pro max 256g  بطاريات 87-95% مستعمل مكفول 14 يوم,339.0,Apple,ايفون 13 برو ماكس,256.0,أسود,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 16 برو ماكس 256 جيجا لون ديزرت صحراوي بطارية 91% شرق اوسط مع الكرتونة بحالة الجديد ومكفول,649.0,Apple,ايفون 16 برو ماكس,256.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-16,
ايفون 15 عادي 128 جيجا بعدة الوان مميزة مستعمل بحالة الجديد نظيف ومكفول بطاريات 88-91% اجهزة وكالة,366.0,Apple,ايفون 15,128.0,أزرق,مستعمل - ممتاز,Apple-iPhone-15,
ايفون 14 برو 128 جيجا عدة الوان بطاريات 87-89% بمدخل خط اجهزة وكالة نظيفة ومكفولة باعتبار جديد,379.0,Apple,ايفون 14 برو,128.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 13 برو 128 جيجا بعدة الوان مميزة بطاريات 90-93% اجهزة مستعملة بحالة الجديد نظيف ومكفول,310.0,Apple,ايفون 13 برو,128.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 12 برو ماكس 128 جيجا لون كحلي اجهزة مكفولة ونظيفة مستبدل فيهم قطع بسعر مميز,199.0,Apple,ايفون 12 برو ماكس,128.0,أزرق,مستعمل - ممتاز,Apple-iPhone-12,
ايفون 17 برو 256 جيجا كحلي او اورنج اجهزة مستعملة بحالة الجديد بطاريات 100 وكفالات شغالة,788.0,Apple,ايفون 17 برو,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-17,
ايفون 15 برو ماكس 256 جيجا لون كحلي او ابيض مدخل خط بطاريات 86-93% اجهزة وكالة باعتبار جديد ومكفول,549.0,Apple,ايفون 15 برو ماكس,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-15,
ايفون 16E 128 جيجا لون اسود بطارية 100% اجهزة مشغلة غير مستخدمة باعتبار جديد ولا خدش ومكفول,349.0,Apple,ايفون 16e,128.0,أسود,جديد,Apple-iPhone-16,
ايفون 14 بلس 256 جيجا لون نهدي او ابيض بطاريات عالية 92-100% اجهزة باعتبار جديد نظيف ومكفول,315.0,Apple,ايفون 14 بلس,256.0,بنفسجي,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 17 برو ماكس 256 جيجا جديد بدون كرتونة سلفر وكحلي وارد الشرق الاوسط بمدخل خط مكفول ثلاث سنوات,999.0,Apple,ايفون 17 برو ماكس,256.0,أبيض,جديد,Apple-iPhone-17,
ايفون 16 برو 128 جيجا عدة الوان بطاريات عالية واجهزة مستعملة بحالة الجديد نظيف ومكفول,544.0,Apple,ايفون 16 برو,128.0,بني,مستعمل - ممتاز,Apple-iPhone-16,
ايفون 13 برو 256 جيجا بطاريات 90-95% اجهزة بحالة الجديد نظاف ومكفولين بعدة الوان مميزة,334.0,Apple,ايفون 13 برو,256.0,أزرق,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 13 عادي 128 جيجا لون ابيض مستبدل بطارية وباك خلفي الجهاز نظيف ومكفول بسعر مميز,179.0,Apple,ايفون 13,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-13,
ايفون 15 بلس 256 جيجا لون زهري مميز جديد بدون كرتونة غير مستخدم وغير مفعل نو اكتيف وبسعر مميز,449.0,Apple,ايفون 15 بلس,256.0,زهري,جديد,Apple-iPhone-15,
ايفون 14 برو ماكس 128 جيجا لون ذهبي مستبدل شاشة وبطارية نخب اول وبسعر مميز,299.0,Apple,ايفون 14 برو ماكس,128.0,ذهبي,مستعمل - ممتاز,Apple-iPhone-14,
ايفون 14 برو ماكس 256 جيجا لون بيربل نهدي مميز بطارية 78% نظيف ومكفول مستبدل كاميرا اصلي ابل,399.0,Apple,ايفون 14 برو ماكس,256.0,بنفسجي,مستعمل - ممتاز,Apple-iPhone-14,
هواوي ميت باد 11.5 الجديد 2026 16 رام 256 تخزين/ Huawei mate pad 11.5 new,249.0,Huawei,ميت باد 11.5,256.0,11.6 انش,جديد,Huawei-Other,
HONOR 600 lite( 256GB ) / RAM 8 NEW /// جهاز هونور 600 لايت ذاكرة 256 الرام 8 الجديد,204.0,Honor,,256.0,لؤلؤي,جديد,Honor-Other,
هواوي ميت باد اس اي  6\8 رام 128 تخزين/ Huawei mate pad SE new,135.0,Huawei,ميت باد,128.0,11 انش,جديد,Huawei-Other,
Samsung S25 ultra 256  وارد الشرق الأوسط بسعر مميز,625.0,Samsung,جالاكسي S25 الترا,256.0,رمادي,جديد,Samsung-Galaxy-S25,
Vivo X300 Ultra Chinese,975.0,Vivo,,512.0,أخضر,جديد,Vivo-Other,
Nothing 3a,350.0,Nothing,فون 3a,256.0,أسود,مستعمل - ممتاز,Nothing-Other,
HONOR X6C ( 128GB ) / RAM 6 NEW /// جهاز هونور اكس 6 سي ذاكرة 128 الرام 6 الجديد,79.0,Honor,,128.0,أسود,جديد,Honor-Other,
Xiaomi 17 Pro 5G 12/512GB جديد — لون أبيض,649.0,Xiaomi,,512.0,أبيض,جديد,Xiaomi-Other,
هونر X8d 256-512 جديد كفالة الوكيل الرسمي بسعر مميز جدا,170.0,Honor,هونور X8,512.0,أسود,جديد,Honor-Other,
متوفر فل بكج بسعر مميز هونور اكس 8 بي  /// HONOR X8B 128GB new,137.0,Honor,هونور باد X8,128.0,11 انش,جديد,Honor-Other,
جديد بتصميم رفيع Samsung Galaxy A57 5G 256GB & 512GB متوفر لدى سبيد سيل,319.0,Samsung,جالاكسي A57,256.0,أزرق,جديد,Samsung-Galaxy-A57,
iPhone 17 Pro max 256GB  Battery 99% مشحون 141 مره شرق اوسط مدخل خط معاه الكرتونه,980.0,Apple,ايفون 17 برو ماكس,256.0,فضي,مستعمل - ممتاز,Apple-iPhone-17,
اخر جهازين  935 بيع مستعجل I phone 17 Pro Max 256 GB,935.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,جديد,Apple-iPhone-17,
SAMSUNG A56 ( 256GB ) / RAM 8 NEW /// سامسونج أيه 56 ذاكرة 256 الرام 8الجديد,272.0,Samsung,جالاكسي A56,256.0,أسود,جديد,Samsung-Galaxy-A56,
IPHONE 16 PRO MAX ( 256GB ) USED /// ايفون 16 برو ماكس ذاكرة 256 مستعمل وكاله,617.0,Apple,ايفون 16 برو ماكس,256.0,ذهبي,جديد,Apple-iPhone-16,
iPhone 13-256gb battery 85-93% used/ مستعمل بحالة الوكاله ومكفوووووووول,285.0,Apple,ايفون 13,256.0,أحمر,مستعمل - ممتاز,Apple-iPhone-13,
متوفر الأن جديد بسعر مميز هونور اكس 9 دي /// Honor x9d 256G 12G RAM NEW,249.0,Honor,,256.0,خمري,جديد,Honor-Other,
جديد اكتيف فقط مع ابل كير بلس iPhone 17 Promax 256GB متوفر لدى سبيد سيل,1020.0,Apple,ايفون 17 برو ماكس,256.0,أزرق,جديد,Apple-iPhone-17,
المصداقية شعارنا جديد كفالة وكيل الاردن Galaxy S25 Ultra متوفر لدى سبيد سيل,685.0,Samsung,جالاكسي S25 الترا,256.0,أسود,جديد,Samsung-Galaxy-S25,
iPhone 17 Promax 256GB / Battery 100% / مدخل خطين,985.0,Apple,ايفون 17 برو ماكس,256.0,أبيض,مستعمل - ممتاز,Apple-iPhone-17,
إحجزه الآن أقوى جهاز شاومي MI 17T & 17T Pro لدى سبيد سيل,699.0,Xiaomi,14T برو,1024.0,أسود,جديد,Xiaomi-Other,
بحال الوكالة تحت الكفالة iPhone 17Promax 512GB مدخل شريحة متوفر ادى سبيد سيل,1150.0,Apple,ايفون 17 برو ماكس,512.0,أبيض,مستعمل - ممتاز,Apple-iPhone-17,
أيفون 11 مابشكي من اشي,160.0,Apple,ايفون 11,128.0,أبيض,مستعمل - ممتاز,Apple-iPhone-11,
مستعمل تحت الكفالة مدخل شريحة متوفر iPhone 17Promax 256GB لدى سبيد سيل,965.0,Apple,ايفون 17 برو ماكس,256.0,برتقالي,مستعمل - ممتاز,Apple-iPhone-17,
Samsung Z flip 7 fe  وارد شرق الأوسط بسعر مميز,430.0,Samsung,جالاكسي Z فليب7,256.0,أسود,جديد,Samsung-Z,
iphone pro max 256 e-sim silver new,975.0,Apple,ايفون 17 برو ماكس,256.0,فضي,جديد,Apple-Other,
مستعمل بحال الوكالة iphone 14 - 128GB متوفر لدى سبيد سيل,299.0,Apple,ايفون 14,128.0,أسود,مستعمل - ممتاز,Apple-iPhone-14,
